,col
0,gilberto
1,nino
2,lucas
3,ganso
4,pedro
5,airton
6,bruno-silva
7,yuri
8,nenê
9,caio-henrique
10,ewandro
11,daniel
12,allan
13,guilherme
14,wellington-nem
15,joão-pedro
16,victor
17,fernando
18,patric
19,lucas-hernández
20,hulk
21,elias
22,gustavo-blanco
23,nathan
24,neto
25,luan
26,ricardo-oliveira
27,bruno-silva
28,leandrinho
29,yimmi-chará
30,franco-di-santo
31,maicon
32,paulo-miranda
33,rodrigues
34,gabriel
35,maicon
36,michel
37,alisson
38,rômulo
39,luan
40,felipe-vizeu
41,diego-tardelli
42,luciano
43,guilherme
44,robson
45,pedro-henrique
46,abner
47,márcio-azevedo
48,wellington
49,lucho-gonzález
50,camacho
51,erick
52,abner
53,pedrinho
54,marco-ruben
55,marcelo
56,edu-dracena
57,luan
58,marcos-rocha
59,fabiano
60,vitor-hugo
61,felipe-melo
62,bruno-henrique
63,lucas-lima
64,matheus-fernandes
65,carlos-eduardo
66,ramires
67,willian
68,miguel-borja
69,deyverson
70,luiz-adriano
71,diego-cavalieri
72,gabriel
73,marcinho
74,kanu
75,fernando
76,cícero
77,joão-paulo
78,yuri
79,diego-souza
80,vitinho
81,rafael
82,dede
83,dodô
84,cacá
85,henrique
86,robinho
87,thiago-neves
88,david
89,éderson
90,michel
91,jadson
92,mauricio
93,marco-antônio
94,fred
95,pedro-rocha
96,adriano
97,elias
98,vágner
99,douglas
100,eduardo
101,renato
102,gustavo-campanharo
103,betão
104,alex-silva
105,ricardo
106,marcinho
107,joão-paulo
108,iury
109,douglas
110,wesley
111,falcão
112,lucas
113,bruno-alves
114,bruno-peres
115,dani-alves
116,luan
117,vitor
118,hernanes
119,jonas
120,alexandre-pato
121,anderson
122,douglas
123,fabrício
124,juninho
125,rodrigo-becão
126,wanderson
127,marco-antônio
128,joão-pedro
129,flávio
130,ronaldo
131,yuri
132,iago
133,clayton
134,rogerio
135,gilberto
136,fernandinho
137,walter
138,míchel
139,danilo-avelar
140,carlos
141,junior-sornoza
142,gabriel
143,pedrinho
144,vágner-love
145,mauro-boselli
146,joão-pedro
147,henrique
148,breno
149,ricardo
150,leandro-castán
151,miranda
152,fellipe-bastos
153,bruno-silva
154,marquinho
155,diego-alves
156,yago
157,filipe-luis
158,rafinha
159,rodrigo-caio
160,juan
161,rhodolfo
162,gustavo-cuellar
163,diego
164,ronaldo
165,gerson
166,yuri
167,giorgian-de-arrascaeta
168,bruno-henrique
169,gabriel-barbosa
170,lincoln
171,vitinho
172,lucas-silva
173,thiago-carleto
174,valdo
175,charles
176,fabinho
177,ricardinho
178,edinho
179,romário
180,joão-paulo
181,juninho-quixadá
182,marcelo-boeck
183,carlinhos
184,tinga
185,juan-quintero
186,juninho
187,felipe-pires
188,felipe
189,edinho
190,wellington-paulista
191,éderson
192,fabrício
193,naldo
194,celsinho
195,carlinhos
196,gerson
197,rafinha
198,rodolfo-gamarra
199,matheus
200,marcos
201,yago
202,marcelo-hermes
203,marcinho
204,iago
205,yago
206,jefferson
207,rafinha
208,jean-carlos
209,flávio
210,yago
211,walter
212,ricardo
213,alisson
214,daniel
215,bruno
216,rodrigo-moledo
217,zeca
218,roberto
219,edenilson
220,natanael-pimienta
221,paolo-guerrero
222,wellington-silva
223,gabriel
224,joão-paulo
225,jorge
226,cadu
227,luan-peres
228,guilherme
229,christian-cueva
230,carlos-sánchez
231,evandro
232,bryan-ruiz
233,derlis-gonzález
234,christian-walton
235,derrick-williams
236,tosin-adarabioyo
237,greg-cunningham
238,jack-rodwell
239,bradley-johnson
240,stewart-downing
241,elliott-bennett
242,peter-whittingham
243,bradley-dack
244,sam-gallagher
245,danny-graham
246,dominic-samuel
247,adam-armstrong
248,ben-brereton
249,marcus-bettinelli
250,marek-rodák
251,alfie-mawson
252,tim-ream
253,denis-odoi
254,marcelo-djalo
255,cyrus-christie
256,timothy-fosu-mensah
257,maxime-le-marchand
258,scott-parker
259,tom-cairney
260,kevin-mcdonald
261,luca-de-la-torre
262,neeskens-kebano
263,stefan-johansen
264,steven-sessegnon
265,matt-o-riley
266,harrison-reed
267,bobby-reid
268,joe-bryan
269,harry-arter
270,aleksandar-mitrovic
271,josh-onomah
272,aboubakar-kamara
273,rui-fonte
274,ivan-cavaleiro
275,anthony-knockaert
276,todd-kane
277,luke-amos
278,conor-masterson
279,geoff-cameron
280,eberechi-eze
281,marc-pugh
282,dominic-ball
283,nahki-wells
284,jordan-hugill
285,jan-mlakar
286,jack-butland
287,jakob-haugaard
288,adam-federici
289,danny-batth
290,cameron-carter-vickers
291,ryan-shawcross
292,thomas-edwards
293,bruno-martins-indi
294,moritz-bauer
295,stephen-ward
296,tommy-smith
297,oghenekaro-etebo
298,scott-hogan
299,nick-powell
300,joe-allen
301,darren-fletcher
302,oliver-shenton
303,kevin-wimmer
304,sam-clucas
305,james-mcclean
306,giannelli-imbula
307,thibaud-verlinden
308,peter-crouch
309,tyrese-campbell
310,sam-vokes
311,tom-ince
312,kristoffer-nordfeldt
313,erwin-mulder
314,freddie-woodman
315,jake-bidwell
316,joe-rodon
317,ben-wilmot
318,kyle-naughton
319,mike-van-der-hoorn
320,declan-john
321,brandon-cooper
322,bersant-celina
323,jay-fulton
324,adam-king
325,matt-grimes
326,wayne-routledge
327,daniel-james
328,george-byers
329,nathan-dyer
330,tom-carroll
331,connor-roberts
332,adnan-maric
333,jefferson-montero
334,aldo-kalulu
335,joel-asoro
336,sam-surridge
337,wilfried-bony
338,andre-ayew
339,sam-johnstone
340,alex-palmer
341,conor-townsend
342,kyle-bartley
343,allan-nyom
344,kieran-gibbs
345,dara-o-shea
346,jake-livermore
347,romaine-sawyers
348,chris-brunt
349,sam-field
350,matt-phillips
351,hal-robson-kanu
352,oliver-burke
353,nathan-ferguson
354,rekeem-harper
355,grady-diangana
356,chris-willock
357,filip-krovinovic
358,jonathan-leko
359,charlie-austin
360,matheus-pereira
361,david-marshall
362,antonee-robinson
363,dujon-sterling
364,jonas-olsson
365,reece-james
366,sam-morsy
367,darron-gibson
368,joe-williams
369,anthony-pilkington
370,josh-windass
371,bright-enobakhare
372,joe-garner
373,reece-burke
374,matthew-pennington
375,eric-lichaj
376,angus-macdonald
377,kevin-stewart
378,stephen-kingsley
379,brandon-fleming
380,jackson-irvine
381,george-honeyman
382,callum-elder
383,markus-henriksen
384,brian-lenihan
385,daniel-batty
386,jon-toral
387,kamil-grosicki
388,chris-martin
389,nouha-dicko
390,jarrod-bowen
391,lee-camp
392,david-stockdale
393,jake-clarke-salter
394,cheikh-ndoye
395,craig-gardner
396,gary-gardner
397,kerim-mrabti
398,lukas-jutkiewicz
399,lee-carsley
400,kiko-casilla
401,jamal-blackman
402,barry-douglas
403,gaetano-berardi
404,kalvin-phillips
405,pablo-hernández
406,vurnon-anita
407,jack-clarke
408,adam-forshaw
409,jack-harrison
410,mateusz-klich
411,helder-costa
412,tyler-roberts
413,patrick-bamford
414,eddie-nketiah
415,ben-hamer
416,curtis-davies
417,andre-wisdom
418,jayden-bogle
419,scott-malone
420,graeme-shinnie
421,ashley-cole
422,tom-huddlestone
423,tom-lawrence
424,joe-ledley
425,george-evans
426,matt-clarke
427,krystian-bielik
428,kieran-dowell
429,martyn-waghorn
430,phillip-cocu
431,dimitrios-konstantopoulos
432,darren-randolph
433,george-friend
434,daniel-ayala
435,dael-fry
436,ryan-shotton
437,marc-bola
438,paddy-mcnair
439,grant-leadbitter
440,adam-clayton
441,britt-assombalonga
442,george-saville
443,sam-mcqueen
444,marcus-browne
445,ashley-fletcher
446,rudy-gestede
447,robbie-keane
448,jonathan-woodgate
449,keiren-westwood
450,sam-hutchinson
451,tom-lees
452,michael-hector
453,rolando-aarons
454,massimo-luongo
455,kadeem-harris
456,jacob-murphy
457,barry-bannan
458,adam-reach
459,moses-odubajo
460,jeremy-helan
461,jordan-rhodes
462,fernando-forestieri
463,steven-fletcher
464,ben-amos
465,tom-lockyer
466,chuks-aneke
467,sam-field
468,josh-cullen
469,beram-kayal
470,conor-gallagher
471,jonathan-leko
472,brice-samba
473,costel-pantilimon
474,liam-bossin
475,arijanet-muric
476,yohan-benalouane
477,jack-robinson
478,carl-jenkinson
479,michael-hefele
480,tendayi-darikwa
481,michael-dawson
482,tobias-figueiredo
483,alexander-milosevic
484,chema
485,alfa-semedo
486,albert-adomah
487,claudio-yacob
488,liam-bridcutt
489,ben-watson
490,matty-cash
491,joão-carvalho
492,john-bostock
493,sabri-lamouchi
494,lewis-grabban
495,sammy-ameobi
496,joe-lolley
497,rafael
498,sam-walker
499,chris-gunter
500,matt-miazga
501,ovie-ejaria
502,garath-mccleary
503,jordan-obita
504,john-swift
505,andy-rinomhota
506,charlie-adam
507,adrian-popa
508,george-puscas
509,modou-barrow
510,sam-baldock
511,jordan-williams
512,bambo-diaby
513,cameron-mcgeehan
514,mamadou-thiam
