time,team,fiveFixtures
2019-08-24T16:00:00+00:00,Parma,"[nan, nan, 5.0, 3.0, 2.0]"
2019-09-01T18:45:00+00:00,Parma,"[nan, 5.0, 3.0, 2.0, 4.0]"
2019-09-14T00:00:00+00:00,Parma,"[5.0, 3.0, 2.0, 4.0, 3.0]"
2019-09-21T00:00:00+00:00,Parma,"[3.0, 2.0, 4.0, 3.0, 4.0]"
2019-09-24T00:00:00+00:00,Parma,"[2.0, 4.0, 3.0, 4.0, 2.0]"
2019-09-28T00:00:00+00:00,Parma,"[4.0, 3.0, 4.0, 2.0, 1.0]"
2019-10-05T00:00:00+00:00,Parma,"[3.0, 4.0, 2.0, 1.0, 2.0]"
2019-10-19T00:00:00+00:00,Parma,"[4.0, 2.0, 1.0, 2.0, 2.0]"
2019-10-26T00:00:00+00:00,Parma,"[2.0, 1.0, 2.0, 2.0, 2.0]"
2019-10-29T00:00:00+00:00,Parma,"[1.0, 2.0, 2.0, 2.0, 4.0]"
2019-11-02T00:00:00+00:00,Parma,"[2.0, 2.0, 2.0, 4.0, 3.0]"
2019-11-09T00:00:00+00:00,Parma,"[2.0, 2.0, 4.0, 3.0, 4.0]"
2019-11-23T00:00:00+00:00,Parma,"[2.0, 4.0, 3.0, 4.0, 3.0]"
2019-11-30T00:00:00+00:00,Parma,"[4.0, 3.0, 4.0, 3.0, 5.0]"
2019-12-07T00:00:00+00:00,Parma,"[3.0, 4.0, 3.0, 5.0, 2.0]"
2019-12-14T00:00:00+00:00,Parma,"[4.0, 3.0, 5.0, 2.0, 5.0]"
2019-12-21T00:00:00+00:00,Parma,"[3.0, 5.0, 2.0, 5.0, 2.0]"
2020-01-04T00:00:00+00:00,Parma,"[5.0, 2.0, 5.0, 2.0, 5.0]"
2020-01-11T00:00:00+00:00,Parma,"[2.0, 5.0, 2.0, 5.0, 3.0]"
2020-01-18T00:00:00+00:00,Parma,"[5.0, 2.0, 5.0, 3.0, 2.0]"
2020-01-25T00:00:00+00:00,Parma,"[2.0, 5.0, 3.0, 2.0, 4.0]"
2020-02-01T00:00:00+00:00,Parma,"[5.0, 3.0, 2.0, 4.0, 3.0]"
