time,team,fiveFixtures
2019-08-09T19:00:00+00:00,Liverpool,"[nan, nan, 2.0, 2.0, 4.0]"
2019-08-17T14:00:00+00:00,Liverpool,"[nan, 2.0, 2.0, 4.0, 2.0]"
2019-08-24T16:30:00+00:00,Liverpool,"[2.0, 2.0, 4.0, 2.0, 2.0]"
2019-08-31T16:30:00+00:00,Liverpool,"[2.0, 4.0, 2.0, 2.0, 5.0]"
2019-09-14T11:30:00+00:00,Liverpool,"[4.0, 2.0, 2.0, 5.0, 2.0]"
2019-09-22T15:30:00+00:00,Liverpool,"[2.0, 2.0, 5.0, 2.0, 3.0]"
2019-09-28T11:30:00+00:00,Liverpool,"[2.0, 5.0, 2.0, 3.0, 2.0]"
2019-10-05T14:00:00+00:00,Liverpool,"[5.0, 2.0, 3.0, 2.0, 5.0]"
2019-10-19T16:30:00+00:00,Liverpool,"[2.0, 3.0, 2.0, 5.0, 2.0]"
2019-10-27T15:30:00+00:00,Liverpool,"[3.0, 2.0, 5.0, 2.0, 2.0]"
2019-11-02T15:00:00+00:00,Liverpool,"[2.0, 5.0, 2.0, 2.0, 3.0]"
2019-11-09T15:00:00+00:00,Liverpool,"[5.0, 2.0, 2.0, 3.0, 1.0]"
2019-11-23T15:00:00+00:00,Liverpool,"[2.0, 2.0, 3.0, 1.0, 4.0]"
2019-11-30T15:00:00+00:00,Liverpool,"[2.0, 3.0, 1.0, 4.0, 2.0]"
2019-12-04T20:00:00+00:00,Liverpool,"[3.0, 1.0, 4.0, 2.0, 3.0]"
2019-12-07T15:00:00+00:00,Liverpool,"[1.0, 4.0, 2.0, 3.0, 3.0]"
2019-12-14T15:00:00+00:00,Liverpool,"[4.0, 2.0, 3.0, 3.0, 3.0]"
2019-12-21T15:00:00+00:00,Liverpool,"[2.0, 3.0, 3.0, 3.0, 2.0]"
2019-12-26T15:00:00+00:00,Liverpool,"[3.0, 3.0, 3.0, 2.0, 2.0]"
2019-12-28T15:00:00+00:00,Liverpool,"[3.0, 3.0, 2.0, 2.0, 5.0]"
2020-01-01T15:00:00+00:00,Liverpool,"[3.0, 2.0, 2.0, 5.0, 2.0]"
2020-01-11T15:00:00+00:00,Liverpool,"[2.0, 2.0, 5.0, 2.0, 2.0]"
2020-01-18T15:00:00+00:00,Liverpool,"[2.0, 5.0, 2.0, 2.0, 2.0]"
2020-01-21T19:45:00+00:00,Liverpool,"[5.0, 2.0, 2.0, 2.0, 2.0]"
2020-02-01T15:00:00+00:00,Liverpool,"[2.0, 2.0, 2.0, 2.0, 3.0]"
2020-02-08T15:00:00+00:00,Liverpool,"[2.0, 2.0, 2.0, 3.0, 3.0]"
2020-02-22T15:00:00+00:00,Liverpool,"[2.0, 2.0, 3.0, 3.0, 2.0]"
2020-02-29T15:00:00+00:00,Liverpool,"[2.0, 3.0, 3.0, 2.0, 4.0]"
2020-03-07T15:00:00+00:00,Liverpool,"[3.0, 3.0, 2.0, 4.0, 3.0]"
2020-03-14T15:00:00+00:00,Liverpool,"[3.0, 2.0, 4.0, 3.0, 2.0]"
2020-03-21T15:00:00+00:00,Liverpool,"[2.0, 4.0, 3.0, 2.0, 2.0]"
2020-04-04T14:00:00+00:00,Liverpool,"[4.0, 3.0, 2.0, 2.0, 1.0]"
2020-04-11T14:00:00+00:00,Liverpool,"[3.0, 2.0, 2.0, 1.0, 2.0]"
2020-04-18T14:00:00+00:00,Liverpool,"[2.0, 2.0, 1.0, 2.0, 4.0]"
2020-04-25T14:00:00+00:00,Liverpool,"[2.0, 1.0, 2.0, 4.0, 5.0]"
2020-05-02T14:00:00+00:00,Liverpool,"[1.0, 2.0, 4.0, 5.0, 2.0]"
2020-05-09T14:00:00+00:00,Liverpool,"[2.0, 4.0, 5.0, 2.0, nan]"
2020-05-17T14:00:00+00:00,Liverpool,"[4.0, 5.0, 2.0, nan, nan]"
2019-08-10T11:30:00+00:00,West Ham,"[nan, nan, 2.0, 1.0, 3.0]"
2019-08-17T14:00:00+00:00,West Ham,"[nan, 2.0, 1.0, 3.0, 2.0]"
