playerName,competitions,teamName
Blaine Hudson,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Chris Marriott,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Lewis Kaye,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Daniel Redmond,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Adam Hughes,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Keston Davies,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Joash Nembhard,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Kane Lewis,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Jack Bodenham,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Josh Hmami,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Jon Routledge,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Jamie Mullan,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Aeron Edwards,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Adrian Cieslewicz,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Ryan Brobbel,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Ben Clark,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Chris Craven,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Billy Whitehouse,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Ryan Harrington,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Greg Draper,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Kurtis Byrne,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Dean Ebbe,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Scott Ruscoe,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Alexander Schlager,"['Bundesliga', 'ÖFB Cup', 'UEFA Champions League']",LASK Linz
Thomas Gebauer,"['Bundesliga', 'ÖFB Cup', 'UEFA Champions League']",LASK Linz
Tobias Lawal,"['Bundesliga', 'ÖFB Cup', 'UEFA Champions League']",LASK Linz
Christian Ramsebner,"['Bundesliga', 'ÖFB Cup', 'UEFA Champions League']",LASK Linz
Emanuel Pogatetz,"['Bundesliga', 'ÖFB Cup', 'UEFA Champions League']",LASK Linz
Markus Wostry,"['Bundesliga', 'ÖFB Cup', 'UEFA Champions League']",LASK Linz
Jan Boller,"['Bundesliga', 'ÖFB Cup', 'UEFA Champions League']",LASK Linz
Fabian Benko,"['Bundesliga', 'ÖFB Cup', 'UEFA Champions League']",LASK Linz
