playerName,competitions,teamName
Oleg Medvedev,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Antonio Rukavina,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Žarko Tomašević,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Luka Šimunović,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Marin Aničić,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Ivan Maewski,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Abzal Beysebekov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Evgeny Postnikov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Alim Ilyassov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Dauren Iskakov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Talgat Kusyapov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Samat Bortay,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Samat Mazhit,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Zhantore Zhumadilov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Adilzhan Dyusembaev,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Ravil Ibragimov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Dorin Rotariu,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Yuri Logvinenko,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Dmitriy Shomko,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Serikzhan Muzhikov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
László Kleinheisler,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Roman Murtazaev,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Madi Zhakipbayev,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Marin Tomasov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Rúnar Már Sigurjónsson,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Abay Zhunusov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Lev Skvortsov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Zhaslan Kairkenov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Firmin Mubele,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Rangelo Janga,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Junior Kabananga,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Vladislav Prokopenko,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Viktor Pron,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Ramazan Karimov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Yuriy Pertsukh,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Stanislav Basmanov,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Daniil Pichkarev,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Sergei Khizhnichenko,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Didar Zhalmukan,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Grigoriy Babayan,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Roman Hryhorchuk,"['UEFA Champions League', 'UEFA Europa League']",Astana FK
Andrii Pyatov,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Oleksii Shevchenko,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Anatolii Trubin,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Yevhen Hrytsenko,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Ismaily,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Serhii Kryvtsov,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Maksym Malyshev,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Bohdan Butko,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Davit Khotcholava,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Dodô,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Mykola Matviienko,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Valerii Bondar,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Maycon,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Dentinho,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Marlos,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Taras Stepanenko,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Viktor Kovalenko,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Alan Patrick,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Oleksandr Pikhalonok,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Marcos Antonio Bahia,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Mateus Cardoso Tetê,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Taison,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Júnior Moraes,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Gustavo Blanco,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Serhii Bolbat,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Andrii Boriachuk,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Manor Solomon,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Danylo Sikan,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Luís Castro,"['Premier Liha', 'UEFA Champions League', 'Superkubok Ukrainy']",FK Shakhtar Donetsk
Roy Carroll,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Gareth Deane,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Alex Moore,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Conor Mitchell,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Rohan Ferguson,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Ryan McGivern,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Chris Casement,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Mark Haughey,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Matthew Clarke,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Niall Quinn,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Mark Stafford,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Andy Mitchell,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Joshua Robinson,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Caomhan McGuinness,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Trai Hume,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Shayne Lavery,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Jamie Mulgrew,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Jordan Stewart,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Jimmy Callacher,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Stephen Fallon,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Bastien Héry,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Daniel Kearns,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Brandon Doyle,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Joel Cooper,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Benny Möller,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Jake Corbett,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Andy Waterworth,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Kirk Millar,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Adam Carroll,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Daniel Reynolds,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Lorcan Forde,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Ross Larkin,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Charlie Allen,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
David Healy,"['UEFA Champions League', 'Premiership', 'UEFA Europa League', 'League Cup']",Linfield FC
Faruk Çakır,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Volkan Babacan,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Ahmet Kivanç,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Mert Günok,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Onur Güney,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Aziz Behich,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Serdar Taşçı,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Alparslan Erdem,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Alexandru Epureanu,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Uğur Uçar,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Joseph Attamah,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Júnior Caiçara,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Gaël Clichy,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Aurélien Chedjou,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Miguel Vieira,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Mustafa Kutay Pekşen,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Miloš Jojić,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Rijad Bajić,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Edin Višća,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Mahmut Tekdemir,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Márcio Mossoró,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Emre Belözoğlu,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Stefano Napoleoni,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
İrfan Can Kahveci,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Eljero Elia,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Gökhan İnler,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Kerim Frei,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Arda Turan,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Cheikhou Dieng,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Alican Özfesli,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Soner Aydoğdu,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Okechukwu Azubuike,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Ponck,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Mustafa Toprak,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Salim Farsak,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Mert Çelik,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Enes Karakuş,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Efecan Barlık,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Enzo Crivelli,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
Fredrik Gulbrandsen,"['UEFA Champions League', 'Süper Lig']",Medipol Başakşehir FK
